Component,Origin,License,Copyright
"webrick","https://github.com/ruby/webrick","BSD2","Copyright (C) 1993-2013 Yukihiro Matsumoto"
"minitest","https://github.com/minitest/minitest","MIT","Copyright (c) Ryan Davis, seattle.rb"
"rack","https://github.com/rack/rack","MIT","Copyright (C) 2007-2021 Leah Neukirchen"
"sinatra","https://github.com/sinatra/sinatra","MIT","Copyright (c) 2007, 2008, 2009 Blake Mizerany, Copyright (c) 2010-2017 Konstantin Haase, Copyright (c) 2015-2017 Zachary Scott"
"msgpack","https://github.com/msgpack/msgpack-ruby","Apache-2.0","Copyright (c) 2008-2015 Sadayuki Furuhashi"
"json","https://github.com/flori/json","BSD2","Copyright (c) Florian Frank"
